written by TR 
19.18690000 5.31498000 10.54510000 
20.41280000 6.02241000 10.72960000 
20.39920000 7.41777000 11.02900000 
19.15450000 8.10677000 11.13960000 
19.13840000 9.49669000 11.46350000 
20.36240000 10.19990000 11.67310000 
20.34710000 11.60040000 11.95100000 
19.10270000 12.29700000 12.00700000 
19.09090000 13.71360000 12.17990000 
20.31750000 14.42930000 12.31440000 
20.31060000 15.85450000 12.37510000 
19.07500000 16.56000000 12.28070000 
19.07460000 17.98350000 12.20940000 
20.30640000 18.70010000 12.25530000 
20.30950000 20.11720000 12.09950000 
19.08050000 20.81210000 11.89420000 
19.08300000 22.22410000 11.69480000 
20.32040000 22.93540000 11.70290000 
20.32130000 24.34810000 11.50110000 
19.08610000 25.04290000 11.31280000 
19.08160000 26.46130000 11.14970000 
20.32140000 27.17170000 11.15100000 
20.31420000 28.59270000 11.00730000 
19.07310000 29.29580000 10.89410000 
19.06350000 30.72080000 10.79570000 
20.30290000 31.43170000 10.77810000 
20.29190000 32.85710000 10.68500000 
95.29570000 33.56670000 10.64280000 
96.52300000 35.70530000 10.53000000 
59.80490000 65.66630000 10.17710000 
21.68040000 1.06425000 10.20420000 
22.91090000 1.78310000 10.29520000 
22.90480000 3.20713000 10.40510000 
21.66500000 3.91340000 10.43630000 
21.65500000 5.32550000 10.64690000 
22.88090000 6.03698000 10.81630000 
22.86770000 7.43426000 11.10940000 
21.62360000 8.12205000 11.23410000 
21.60810000 9.51190000 11.56080000 
22.83190000 10.21890000 11.76020000 
22.81650000 11.61690000 12.05370000 
21.57150000 12.31140000 12.12950000 
21.55880000 13.72590000 12.32360000 
22.78390000 14.44310000 12.47010000 
22.77470000 15.86750000 12.56530000 
21.53830000 16.57360000 12.47650000 
21.53600000 17.99910000 12.43100000 
22.76470000 18.71860000 12.51910000 
22.76580000 20.13970000 12.39360000 
21.54230000 20.83320000 12.14900000 
21.54650000 22.24590000 11.95160000 
22.77820000 22.96370000 12.02580000 
22.78110000 24.37600000 11.82010000 
21.55740000 25.06230000 11.54340000 
21.55550000 26.47770000 11.35590000 
22.78840000 27.19570000 11.43220000 
22.78370000 28.61340000 11.25970000 
21.55160000 29.30680000 11.03960000 
