written by TR 
19.65280000 5.67416000 13.33958130 
20.88220000 6.38294000 12.46762415 
20.88280000 7.80192000 12.15214216 
19.65310000 8.51031000 12.71299903 
19.65400000 9.92929000 12.30550146 
20.88330000 10.63870000 11.41601753 
20.88450000 12.05800000 10.97565725 
19.65470000 12.76670000 11.43135346 
19.65610000 14.18610000 10.93841285 
20.88550000 14.89630000 10.10589094 
20.88710000 16.31610000 9.63485881 
19.65730000 17.02510000 9.99634859 
19.65920000 18.44510000 9.50778968 
20.88860000 19.15630000 8.79138267 
20.89080000 20.57660000 8.37074002 
19.66100000 21.28600000 8.64459591 
19.66330000 22.70650000 8.22614411 
20.89270000 23.41860000 7.67624148 
20.89520000 24.83940000 7.35856865 
19.66540000 25.54910000 7.54479065 
19.66800000 26.97010000 7.24683544 
20.89750000 27.68280000 6.89629990 
20.90020000 29.10400000 6.71445959 
19.67040000 29.81400000 6.81304771 
19.67320000 31.23530000 6.66187926 
20.90270000 31.94840000 6.53042843 
20.90560000 33.36970000 6.50632911 
95.92060000 34.07980000 6.51509250 
97.15300000 36.21430000 6.61806232 
22.11160000 0.00097856 12.24196689 
22.11160000 1.41993000 12.25949367 
23.34170000 2.12828000 11.52117819 
23.34180000 3.54738000 11.42259007 
22.11170000 4.25563000 12.07108082 
22.11210000 5.67465000 11.85856865 
23.34200000 6.38340000 11.04357352 
23.34260000 7.80266000 10.75000000 
22.11240000 8.51099000 11.28894839 
22.11330000 9.93025000 10.91431353 
23.34320000 10.63970000 10.08617332 
23.34430000 12.05920000 9.68524830 
22.11410000 12.76790000 10.13437196 
22.11550000 14.18750000 9.69182084 
23.34530000 14.89780000 8.92064265 
23.34690000 16.31790000 8.50657254 
22.11670000 17.02690000 8.88120740 
22.11860000 18.44710000 8.45837390 
23.34840000 19.15830000 7.80111977 
23.35050000 20.57880000 7.44620253 
22.12040000 21.28830000 7.75730282 
22.12270000 22.70900000 7.41991237 
23.35240000 23.42100000 6.92039922 
23.35480000 24.84200000 6.67940604 
22.12480000 25.55180000 6.92697176 
22.12740000 26.97290000 6.71665044 
23.35710000 27.68560000 6.40774099 
23.35980000 29.10700000 6.31572541 
22.12980000 29.81700000 6.49099318 
22.13260000 31.23830000 6.43403116 
23.36220000 31.95140000 6.33763389 
23.36490000 33.37280000 6.40774099 
22.13510000 34.08290000 6.50632911 
22.13790000 35.50420000 6.60929893 
23.36740000 36.21730000 6.73636806 
23.37010000 37.63860000 6.96859786 
98.38520000 38.34860000 6.97736125 
99.61730000 40.48250000 7.58641675 
24.57200000 0.00078973 10.83106134 
24.57200000 1.42000000 10.84858812 
25.80260000 2.12831000 10.18037975 
25.80270000 3.54766000 10.08836417 
24.57210000 4.25588000 10.67332035 
24.57250000 5.67516000 10.47614411 
25.80300000 6.38388000 9.73782863 
25.80350000 7.80339000 9.46616358 
24.57280000 8.51170000 9.95691334 
24.57360000 9.93122000 9.61075949 
25.80400000 10.64060000 8.86587147 
25.80510000 12.06050000 8.49780915 
24.57440000 12.76910000 8.91626095 
24.57570000 14.18900000 8.51752678 
25.80600000 14.89920000 7.82521908 
25.80750000 16.31960000 7.45715677 
24.57700000 17.02860000 7.82083739 
24.57870000 18.44900000 7.45496592 
25.80890000 19.16020000 6.87220058 
25.81090000 20.58100000 6.57424537 
24.58040000 21.29050000 6.89629990 
24.58260000 22.71140000 6.62682571 
25.81270000 23.42340000 6.19084713 
25.81490000 24.84460000 6.01996105 
24.58470000 25.55440000 6.30038948 
24.58720000 26.97570000 6.16893866 
25.81710000 27.68840000 5.91260954 
25.81950000 29.10980000 5.89946446 
24.58950000 29.81990000 6.13388510 
24.59210000 31.24130000 6.16455696 
25.82180000 31.95430000 6.10759494 
25.82430000 33.37570000 6.26533593 
24.59450000 34.08590000 6.44060370 
24.59710000 35.50720000 6.63777994 
25.82660000 36.22020000 6.79552093 
25.82910000 37.64140000 7.11976631 
24.59950000 38.35150000 7.22054528 
24.60200000 39.77250000 7.57765336 
25.83120000 40.48520000 7.94790652 
25.83360000 41.90590000 8.42112950 
100.84900000 42.61580000 8.43208374 
102.08000000 44.74840000 9.49245375 
27.03350000 0.00061395 9.56913340 
27.03340000 1.42007000 9.58446933 
28.26450000 2.12836000 9.00608569 
28.26470000 3.54793000 8.92064265 
27.03350000 4.25613000 9.42234664 
27.03390000 5.67566000 9.23831548 
28.26490000 6.38434000 8.59639727 
28.26540000 7.80408000 8.34225901 
27.03420000 8.51239000 8.76290166 
27.03500000 9.93217000 8.44303797 
28.26590000 10.64150000 7.79454722 
28.26670000 12.06160000 7.45496592 
27.03570000 12.77020000 7.81864654 
27.03680000 14.19040000 7.45715677 
28.26760000 14.90060000 6.85905550 
28.26890000 16.32110000 6.53042843 
27.03800000 17.03020000 6.85686465 
27.03960000 18.45090000 6.53919182 
28.27020000 19.16200000 6.04186952 
28.27190000 20.58300000 5.79430380 
27.04120000 21.29250000 6.10102240 
27.04320000 22.71370000 5.88851022 
28.27350000 23.42550000 5.52921130 
28.27550000 24.84690000 5.41528724 
27.04510000 25.55690000 5.70447907 
27.04730000 26.97830000 5.64094450 
28.27740000 27.69080000 5.44814995 
28.27950000 29.11240000 5.49853944 
27.04940000 29.82260000 5.76801363 
27.05180000 31.24410000 5.87536514 
28.28160000 31.95690000 5.86441091 
28.28380000 33.37840000 6.09664070 
27.05390000 34.08870000 6.33325219 
27.05630000 35.51000000 6.61587147 
28.28580000 36.22290000 6.80428432 
28.28800000 37.64400000 7.21178189 
27.05840000 38.35420000 7.39581305 
27.06080000 39.77520000 7.84274586 
28.28990000 40.48770000 8.23052580 
28.29190000 41.90830000 8.79138267 
27.06260000 42.61830000 8.90092502 
27.06480000 44.03860000 9.48149951 
28.29350000 44.75050000 10.05769231 
28.29540000 46.17040000 10.73247322 
103.31100000 46.88010000 10.74342746 
104.54100000 49.01090000 12.14556962 
29.49590000 0.00046024 8.49342746 
29.49590000 1.42013000 8.50876339 
30.72740000 2.12840000 8.03554041 
30.72760000 3.54817000 7.95228822 
29.49600000 4.25637000 8.35759494 
29.49630000 5.67611000 8.18232717 
30.72770000 6.38475000 7.64995131 
30.72810000 7.80469000 7.40895813 
29.49660000 8.51304000 7.74196689 
29.49720000 9.93303000 7.44401168 
30.72850000 10.64230000 6.90287244 
30.72930000 12.06260000 6.58739046 
29.49780000 12.77130000 6.87658228 
29.49880000 14.19170000 6.54795521 
30.73000000 14.90180000 6.05501461 
30.73110000 16.32250000 5.75486855 
29.49980000 17.03170000 6.02653359 
29.50120000 18.45260000 5.74829601 
30.73210000 19.16350000 5.34518014 
30.73350000 20.58470000 5.13485881 
29.50250000 21.29440000 5.40652386 
29.50420000 22.71570000 5.24221032 
30.73490000 23.42740000 4.96616358 
